Wavelength;Spectral_irradiance
380.0;0.7030
381.0;0.7398
382.0;0.5905
383.0;0.4633
384.0;0.5168
385.0;0.6495
386.0;0.6310
387.0;0.6460
388.0;0.6345
389.0;0.6885
390.0;0.7873
391.0;0.8400
392.0;0.7770
393.0;0.4993
394.0;0.5125
395.0;0.7875
396.0;0.7288
397.0;0.5068
398.0;0.8320
399.0;1.060
400.0;1.114
401.0;1.159
402.0;1.190
403.0;1.168
404.0;1.174
405.0;1.150
406.0;1.121
407.0;1.109
408.0;1.154
409.0;1.198
410.0;1.088
411.0;1.164
412.0;1.225
413.0;1.195
414.0;1.186
415.0;1.220
416.0;1.251
417.0;1.226
418.0;1.184
419.0;1.201
420.0;1.151
421.0;1.249
422.0;1.248
423.0;1.215
424.0;1.215
425.0;1.240
426.0;1.210
427.0;1.176
428.0;1.168
429.0;1.074
430.0;0.8893
431.0;0.8680
432.0;1.243
433.0;1.229
434.0;1.156
435.0;1.241
436.0;1.349
437.0;1.365
438.0;1.235
439.0;1.199
440.0;1.325
441.0;1.344
442.0;1.411
443.0;1.433
444.0;1.413
445.0;1.434
446.0;1.351
447.0;1.469
448.0;1.499
449.0;1.508
450.0;1.559
451.0;1.595
452.0;1.535
453.0;1.456
454.0;1.516
455.0;1.528
456.0;1.565
457.0;1.575
458.0;1.551
459.0;1.531
460.0;1.529
461.0;1.574
462.0;1.590
463.0;1.593
464.0;1.554
465.0;1.536
466.0;1.548
467.0;1.508
468.0;1.551
469.0;1.553
470.0;1.511
471.0;1.536
472.0;1.593
473.0;1.559
474.0;1.565
475.0;1.598
476.0;1.568
477.0;1.575
478.0;1.610
479.0;1.596
480.0;1.608
481.0;1.611
482.0;1.616
483.0;1.599
484.0;1.573
485.0;1.525
486.0;1.325
487.0;1.416
488.0;1.514
489.0;1.483
490.0;1.591
491.0;1.558
492.0;1.504
493.0;1.571
494.0;1.566
495.0;1.619
496.0;1.574
497.0;1.581
498.0;1.555
499.0;1.549
500.0;1.535
501.0;1.496
502.0;1.499
503.0;1.538
504.0;1.478
505.0;1.554
506.0;1.604
507.0;1.554
508.0;1.524
509.0;1.566
510.0;1.549
511.0;1.571
512.0;1.594
513.0;1.526
514.0;1.491
515.0;1.525
516.0;1.504
517.0;1.318
518.0;1.411
519.0;1.413
520.0;1.505
521.0;1.533
522.0;1.545
523.0;1.496
524.0;1.573
525.0;1.568
526.0;1.511
527.0;1.388
528.0;1.515
529.0;1.584
530.0;1.558
531.0;1.608
532.0;1.580
533.0;1.456
534.0;1.519
535.0;1.556
536.0;1.595
537.0;1.516
538.0;1.555
539.0;1.529
540.0;1.479
541.0;1.444
542.0;1.530
543.0;1.530
544.0;1.560
545.0;1.541
546.0;1.525
547.0;1.533
548.0;1.511
549.0;1.543
550.0;1.540
551.0;1.536
552.0;1.559
553.0;1.530
554.0;1.548
555.0;1.555
556.0;1.529
557.0;1.500
558.0;1.514
559.0;1.455
560.0;1.478
561.0;1.539
562.0;1.498
563.0;1.529
564.0;1.515
565.0;1.508
566.0;1.454
567.0;1.515
568.0;1.509
569.0;1.484
570.0;1.474
571.0;1.446
572.0;1.501
573.0;1.518
574.0;1.506
575.0;1.474
576.0;1.466
577.0;1.489
578.0;1.459
579.0;1.471
580.0;1.496
581.0;1.504
582.0;1.528
583.0;1.539
584.0;1.539
585.0;1.526
586.0;1.499
587.0;1.513
588.0;1.469
589.0;1.325
590.0;1.371
591.0;1.445
592.0;1.436
593.0;1.446
594.0;1.440
595.0;1.436
596.0;1.465
597.0;1.469
598.0;1.461
599.0;1.461
600.0;1.466
601.0;1.450
602.0;1.436
603.0;1.460
604.0;1.486
605.0;1.489
606.0;1.483
607.0;1.488
608.0;1.480
609.0;1.470
610.0;1.461
611.0;1.463
612.0;1.475
613.0;1.456
614.0;1.424
615.0;1.458
616.0;1.433
617.0;1.419
618.0;1.455
619.0;1.469
620.0;1.471
621.0;1.471
622.0;1.426
623.0;1.411
624.0;1.409
625.0;1.401
626.0;1.405
627.0;1.425
628.0;1.376
629.0;1.401
630.0;1.395
631.0;1.401
632.0;1.378
633.0;1.435
634.0;1.426
635.0;1.434
636.0;1.420
637.0;1.455
638.0;1.468
639.0;1.458
640.0;1.434
641.0;1.430
642.0;1.433
643.0;1.446
644.0;1.443
645.0;1.444
646.0;1.414
647.0;1.400
648.0;1.386
649.0;1.356
650.0;1.369
651.0;1.423
652.0;1.394
653.0;1.421
654.0;1.405
655.0;1.336
656.0;1.209
657.0;1.250
658.0;1.364
659.0;1.390
660.0;1.398
661.0;1.390
662.0;1.381
663.0;1.381
664.0;1.393
665.0;1.416
666.0;1.419
667.0;1.411
668.0;1.414
669.0;1.434
670.0;1.421
671.0;1.409
672.0;1.395
673.0;1.406
674.0;1.400
675.0;1.394
676.0;1.406
677.0;1.401
678.0;1.399
679.0;1.391
680.0;1.390
681.0;1.390
682.0;1.389
683.0;1.380
684.0;1.371
685.0;1.366
686.0;1.297
687.0;1.031
688.0;1.101
689.0;1.128
690.0;1.179
691.0;1.229
692.0;1.264
693.0;1.259
694.0;1.246
695.0;1.265
696.0;1.271
697.0;1.328
698.0;1.319
699.0;1.293
700.0;1.279
701.0;1.263
702.0;1.261
703.0;1.273
704.0;1.299
705.0;1.316
706.0;1.311
707.0;1.309
708.0;1.303
709.0;1.309
710.0;1.310
711.0;1.309
712.0;1.300
713.0;1.293
714.0;1.294
715.0;1.266
716.0;1.248
717.0;1.113
718.0;1.025
719.0;0.9424
720.0;0.9874
721.0;1.088
722.0;1.208
723.0;1.141
724.0;1.060
725.0;1.046
726.0;1.075
727.0;1.075
728.0;1.045
729.0;1.051
730.0;1.111
731.0;1.088
732.0;1.145
733.0;1.190
734.0;1.223
735.0;1.211
736.0;1.201
737.0;1.203
738.0;1.214
739.0;1.198
740.0;1.215
741.0;1.211
742.0;1.214
743.0;1.238
744.0;1.249
745.0;1.249
746.0;1.241
747.0;1.240
748.0;1.239
749.0;1.231
750.0;1.230
751.0;1.230
752.0;1.229
753.0;1.224
754.0;1.236
755.0;1.230
756.0;1.221
757.0;1.221
758.0;1.224
759.0;1.079
760.0;0.3668
761.0;0.2344
762.0;0.5810
763.0;0.4364
764.0;0.5355
765.0;0.6816
766.0;0.8159
767.0;0.9685
768.0;1.094
769.0;1.124
770.0;1.156
771.0;1.169
772.0;1.170
773.0;1.170
774.0;1.170
775.0;1.171
776.0;1.178
777.0;1.171
778.0;1.170
779.0;1.169
780.0;1.161
781.0;1.160
782.0;1.160
783.0;1.159
784.0;1.153
785.0;1.159
786.0;1.158
787.0;1.141
788.0;1.130
789.0;1.118
790.0;1.095
791.0;1.098
792.0;1.090
793.0;1.083
794.0;1.089
795.0;1.088
796.0;1.075
797.0;1.090
798.0;1.105
799.0;1.090
800.0;1.074
801.0;1.079
802.0;1.078
803.0;1.065
804.0;1.074
805.0;1.059
806.0;1.084
807.0;1.081
808.0;1.076
809.0;1.054
810.0;1.050
811.0;1.046
812.0;1.023
813.0;0.9976
814.0;0.9136
815.0;0.8861
816.0;0.8403
817.0;0.8430
818.0;0.8340
819.0;0.8871
820.0;0.8815
821.0;0.9723
822.0;0.9200
823.0;0.7384
824.0;0.9038
825.0;0.9581
826.0;0.9419
827.0;0.9588
828.0;0.8739
829.0;0.9153
830.0;0.9158
831.0;0.9164
832.0;0.9034
833.0;0.9434
834.0;0.9425
835.0;0.9876
836.0;0.9788
837.0;1.003
838.0;0.9980
839.0;0.9993
840.0;1.009
841.0;1.008
842.0;0.9968
843.0;0.9971
844.0;0.9885
845.0;1.008
846.0;1.015
847.0;0.9929
848.0;0.9883
849.0;0.9723
850.0;0.9126
851.0;0.9613
852.0;0.9670
853.0;0.9485
854.0;0.8708
855.0;0.9099
856.0;0.9649
857.0;0.9866
858.0;0.9890
859.0;0.9885
860.0;0.9854
861.0;0.9851
862.0;0.9918
863.0;0.9945
864.0;0.9768
865.0;0.9479
866.0;0.8694
867.0;0.9101
868.0;0.9495
869.0;0.9504
870.0;0.9610
871.0;0.9544
872.0;0.9611
873.0;0.9533
874.0;0.9383
875.0;0.9290
876.0;0.9471
877.0;0.9523
878.0;0.9484
879.0;0.9364
880.0;0.9328
881.0;0.9129
882.0;0.9266
883.0;0.9278
884.0;0.9311
885.0;0.9359
886.0;0.9100
887.0;0.9091
888.0;0.9200
889.0;0.9291
890.0;0.9226
891.0;0.9206
892.0;0.9038
893.0;0.8726
894.0;0.8470
895.0;0.8094
896.0;0.7544
897.0;0.6825
898.0;0.6884
899.0;0.5923
900.0;0.6981
901.0;0.6243
902.0;0.6601
903.0;0.7038
904.0;0.8193
905.0;0.8131
906.0;0.7613
907.0;0.6556
908.0;0.6549
909.0;0.6856
910.0;0.6383
911.0;0.6633
912.0;0.6769
913.0;0.6343
914.0;0.6316
915.0;0.6570
916.0;0.6068
917.0;0.6918
918.0;0.6264
919.0;0.7194
920.0;0.7459
921.0;0.7635
922.0;0.7136
923.0;0.7344
924.0;0.7208
925.0;0.7093
926.0;0.7125
927.0;0.7499
928.0;0.6079
929.0;0.5399
930.0;0.4430
931.0;0.3974
932.0;0.3070
933.0;0.2414
934.0;0.1695
935.0;0.2255
936.0;0.1724
937.0;0.1674
938.0;0.2201
939.0;0.3823
940.0;0.4486
941.0;0.3875
942.0;0.3841
943.0;0.2946
944.0;0.2944
945.0;0.3351
946.0;0.2376
947.0;0.3359
948.0;0.3126
949.0;0.4223
950.0;0.2321
951.0;0.4134
952.0;0.3041
953.0;0.3436
954.0;0.4026
955.0;0.3488
956.0;0.3215
957.0;0.3009
958.0;0.4254
959.0;0.3896
960.0;0.4184
961.0;0.4525
962.0;0.4513
963.0;0.4903
964.0;0.4685
965.0;0.4963
966.0;0.5011
967.0;0.5196
968.0;0.6356
969.0;0.6734
970.0;0.6493
971.0;0.6989
972.0;0.6791
973.0;0.6113
974.0;0.5796
975.0;0.5840
976.0;0.5806
977.0;0.6256
978.0;0.6189
979.0;0.6290
980.0;0.6206
981.0;0.6949
982.0;0.6898
983.0;0.6784
984.0;0.7204
985.0;0.7000
986.0;0.7396
987.0;0.7380
988.0;0.7353
989.0;0.7431
990.0;0.7348
991.0;0.7481
992.0;0.7475
993.0;0.7389
994.0;0.7496
995.0;0.7499
996.0;0.7463
997.0;0.7390
998.0;0.7370
999.0;0.7358
1000;0.7345
1001;0.7389
1002;0.7288
1003;0.7299
1004;0.7173
1005;0.6890
1006;0.7089
1007;0.7233
1008;0.7241
1009;0.7188
1010;0.7176
1011;0.7200
1012;0.7174
1013;0.7165
1014;0.7170
1015;0.7080
1016;0.7076
1017;0.7034
1018;0.7075
1019;0.6914
1020;0.6961
1021;0.6981
1022;0.6901
1023;0.6919
1024;0.6904
1025;0.6949
1026;0.6939
1027;0.6915
1028;0.6909
1029;0.6856
1030;0.6879
1031;0.6856
1032;0.6844
1033;0.6760
1034;0.6778
1035;0.6798
1036;0.6791
1037;0.6735
1038;0.6709
1039;0.6730
1040;0.6705
1041;0.6700
1042;0.6691
1043;0.6643
1044;0.6653
1045;0.6611
1046;0.6485
1047;0.6545
1048;0.6598
1049;0.6570
1050;0.6535
1051;0.6525
1052;0.6493
1053;0.6470
1054;0.6455
1055;0.6465
1056;0.6450
1057;0.6424
1058;0.6345
1059;0.6215
1060;0.6300
1061;0.6224
1062;0.6283
1063;0.6234
1064;0.6285
1065;0.6259
1066;0.6170
1067;0.6184
1068;0.6140
1069;0.5914
1070;0.6023
1071;0.6134
1072;0.6126
1073;0.6058
1074;0.6141
1075;0.5974
1076;0.6090
1077;0.6041
1078;0.6023
1079;0.6020
1080;0.5948
1081;0.5823
1082;0.5879
1083;0.5926
1084;0.5813
1085;0.5853
1086;0.5594
1087;0.5668
1088;0.5861
1089;0.5766
1090;0.5611
1091;0.5820
1092;0.5720
1093;0.5215
1094;0.5320
1095;0.5193
1096;0.5135
1097;0.5583
1098;0.5119
1099;0.5028
1100;0.4883
1021;0.6981
1022;0.6901
1023;0.6919
1024;0.6904
1025;0.6949
1026;0.6939
1027;0.6915
1028;0.6909
1029;0.6856
1030;0.6879
1031;0.6856
1032;0.6844
1033;0.6760
1034;0.6778
1035;0.6798
1036;0.6791
1037;0.6735
1038;0.6709
1039;0.6730
1040;0.6705
1041;0.6700
1042;0.6691
1043;0.6643
1044;0.6653
1045;0.6611
1046;0.6485
1047;0.6545
1048;0.6598
1049;0.6570
1050;0.6535
1051;0.6525
1052;0.6493
1053;0.6470
1054;0.6455
1055;0.6465
1056;0.6450
1057;0.6424
1058;0.6345
1059;0.6215
1060;0.6300
1061;0.6224
1062;0.6283
1063;0.6234
1064;0.6285
1065;0.6259
1066;0.6170
1067;0.6184
1068;0.6140
1069;0.5914
1070;0.6023
1071;0.6134
1072;0.6126
1073;0.6058
1074;0.6141
1075;0.5974
1076;0.6090
1077;0.6041
1078;0.6023
1079;0.6020
1080;0.5948
1081;0.5823
1082;0.5879
1083;0.5926
1084;0.5813
1085;0.5853
1086;0.5594
1087;0.5668
1088;0.5861
1089;0.5766
1090;0.5611
1091;0.5820
1092;0.5720
1093;0.5215
1094;0.5320
1095;0.5193
1096;0.5135
1097;0.5583
1098;0.5119
1099;0.5028
1100;0.4883